dataset,model,condition,bias,split,seed,rmse,mae,r2,pearson_r,train_model_type,train_n_train
solubility,lgbm_morgan,unbiased,unbiased,random,42,1.295838183493971,0.950020857837717,0.6707942055127714,0.8190706371363374,fingerprint,7672
solubility,lgbm_morgan,unbiased,unbiased,random,123,1.2302965454915586,0.9060193135646949,0.7122685062746992,0.844368244698788,fingerprint,7672
solubility,lgbm_morgan,unbiased,unbiased,random,7,1.2798095803794434,0.9420768211853514,0.6990331884778918,0.8364678544379185,fingerprint,7672
solubility,lgbm_descriptors,unbiased,unbiased,random,42,1.0994091760914784,0.7515377321782039,0.7630347626190959,0.8736460532227612,fingerprint,7672
solubility,lgbm_descriptors,unbiased,unbiased,random,123,1.103050435563617,0.7731493878809163,0.7687091074454129,0.8768865029171815,fingerprint,7672
solubility,lgbm_descriptors,unbiased,unbiased,random,7,1.1001052009459114,0.7628638506935236,0.7776196910010027,0.8819306801755464,fingerprint,7672
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,42,1.8527709122949603,1.4288588828744784,0.3666226307423891,0.6514317457839981,fingerprint,7672
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,123,1.8591494948506806,1.445378816950674,0.28308820759624,0.6047507979930158,fingerprint,7672
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,7,1.828217738053074,1.4012893284265557,0.323694470911826,0.6196266319924986,fingerprint,7672
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,42,1.5518090439081154,1.141677379579106,0.5556802159569826,0.7519348423241045,fingerprint,7672
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,123,1.4807110475154126,1.0876642240048713,0.5452447395670199,0.747294724165882,fingerprint,7672
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,7,1.5662458126278809,1.1390140357795078,0.5036283749812227,0.7221795935001063,fingerprint,7672
solubility,lgbm_morgan,scaffold_top10,scaffold,random,42,1.1212979939924648,0.736927696586513,0.7676899948407819,0.8764286946304252,fingerprint,2170
solubility,lgbm_morgan,scaffold_top10,scaffold,random,123,0.9155149578569958,0.6803623715299638,0.8253318831325868,0.909746225271119,fingerprint,2170
solubility,lgbm_morgan,scaffold_top10,scaffold,random,7,0.9473365952754219,0.6728782126736106,0.845408495692539,0.9214628703802419,fingerprint,2170
solubility,lgbm_descriptors,scaffold_top10,scaffold,random,42,1.0464463516004865,0.6645449347937497,0.7976702427806288,0.8933658517633873,fingerprint,2170
solubility,lgbm_descriptors,scaffold_top10,scaffold,random,123,0.8235185686721865,0.5743026036510708,0.858671567662757,0.9287859398066418,fingerprint,2170
solubility,lgbm_descriptors,scaffold_top10,scaffold,random,7,0.9027802921580925,0.6210651081586621,0.8596083965379309,0.9274446802312162,fingerprint,2170
solubility,lgbm_morgan,mw_narrow,property_range,random,42,1.0986537127831544,0.8373800364729058,0.7251907531025914,0.8521573444514243,fingerprint,3754
solubility,lgbm_morgan,mw_narrow,property_range,random,123,1.0608204838595987,0.7843930720478169,0.7419851720525924,0.861426229111867,fingerprint,3754
solubility,lgbm_morgan,mw_narrow,property_range,random,7,1.1748339491597746,0.8943518873398771,0.6854597393357496,0.8281552275285047,fingerprint,3754
solubility,lgbm_descriptors,mw_narrow,property_range,random,42,1.1283342413198265,0.8086888987855864,0.7101420461602774,0.8439940624202997,fingerprint,3754
solubility,lgbm_descriptors,mw_narrow,property_range,random,123,1.0540376103047615,0.7441460452037852,0.7452741110921137,0.8644024976785187,fingerprint,3754
solubility,lgbm_descriptors,mw_narrow,property_range,random,7,1.22400406339697,0.8664799582324269,0.6585799781350735,0.81225313098791,fingerprint,3754
solubility,lgbm_morgan,target_extremes_removed,target_region,random,42,1.020337443214018,0.7803546424114897,0.5596732545245763,0.7489923519843742,fingerprint,6136
solubility,lgbm_morgan,target_extremes_removed,target_region,random,123,1.003515289133014,0.7730318487651098,0.557536520784055,0.7475411551510142,fingerprint,6136
solubility,lgbm_morgan,target_extremes_removed,target_region,random,7,1.034057650884977,0.7873325457205362,0.5525099610086757,0.7447056536775019,fingerprint,6136
solubility,lgbm_descriptors,target_extremes_removed,target_region,random,42,0.9201166927089479,0.6611544550560312,0.641925630099686,0.8016421364103907,fingerprint,6136
solubility,lgbm_descriptors,target_extremes_removed,target_region,random,123,0.82474818261959,0.5878256820471256,0.7011369823553851,0.8376845159602808,fingerprint,6136
solubility,lgbm_descriptors,target_extremes_removed,target_region,random,7,0.8514619743044388,0.6095092091170664,0.6965938477526932,0.8357710583548996,fingerprint,6136
solubility,lgbm_morgan,substructure_aromatic_only,substructure,random,42,1.137256936074151,0.8514096919537749,0.715240141736018,0.8457686810180834,fingerprint,3997
solubility,lgbm_morgan,substructure_aromatic_only,substructure,random,123,1.2099919202632627,0.9008261240305432,0.6834577117550876,0.8275976756258377,fingerprint,3997
solubility,lgbm_morgan,substructure_aromatic_only,substructure,random,7,1.1655074118082478,0.8750292527482302,0.7276697385504526,0.8541688042376099,fingerprint,3997
solubility,lgbm_descriptors,substructure_aromatic_only,substructure,random,42,1.0528216016643315,0.7327734556520172,0.7559543033830163,0.8704116529265842,fingerprint,3997
solubility,lgbm_descriptors,substructure_aromatic_only,substructure,random,123,1.1064983455682607,0.7867710556694814,0.7352912271760687,0.8584099643553531,fingerprint,3997
solubility,lgbm_descriptors,substructure_aromatic_only,substructure,random,7,1.1126766333351548,0.7803312065238179,0.7517988672490052,0.8676795952642978,fingerprint,3997
solubility,lgbm_morgan,cluster_top3,cluster,random,42,1.512579479043202,1.1337940818118988,0.49995766598110536,0.7258009699681846,fingerprint,670
solubility,lgbm_morgan,cluster_top3,cluster,random,123,1.604344638428685,1.192648148338079,0.4346360361146989,0.6704343418332065,fingerprint,670
solubility,lgbm_morgan,cluster_top3,cluster,random,7,1.3387290953956597,1.0252293694698835,0.6377307843015256,0.7987910467859205,fingerprint,670
solubility,lgbm_descriptors,cluster_top3,cluster,random,42,1.129517855223698,0.7704316439769944,0.7211590417159245,0.8543553128967415,fingerprint,670
solubility,lgbm_descriptors,cluster_top3,cluster,random,123,1.276021721177467,0.8823200713683943,0.6423576636798497,0.8141887458998192,fingerprint,670
solubility,lgbm_descriptors,cluster_top3,cluster,random,7,1.0812871118285696,0.762359998279185,0.7636649802895528,0.8753739905487466,fingerprint,670
